pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max
49,-0.365502,110.511308,1,0.5,8.19
50,-0.365502,110.521414,1,0.5,14.96
51,-0.365502,110.524782,1,0.5,14.96
52,-0.365502,110.528151,1,0.5,14.96
53,-0.368871,110.50457,1,0.5,4.17
54,-0.368871,110.507939,1,0.5,4.17
55,-0.368871,110.511308,1,0.5,8.19
56,-0.368871,110.521414,1,0.5,14.96
57,-0.368871,110.524782,1,0.5,14.96
58,-0.368871,110.528151,1,0.5,14.96
59,-0.372239,110.437197,1,0.5,16.15
60,-0.372239,110.440565,1,1.0,16.15
61,-0.372239,110.443934,1,1.0,16.15
62,-0.372239,110.474252,1,0.5,7.51
63,-0.372239,110.477621,1,0.5,7.51
64,-0.372239,110.484358,1,0.5,18.87
65,-0.372239,110.487727,2,0.5,18.87
66,-0.372239,110.491096,2,0.5,18.87
67,-0.372239,110.494464,1,0.5,1.88
68,-0.372239,110.50457,1,0.5,4.17
69,-0.372239,110.507939,2,0.5,35.59
70,-0.372239,110.511308,2,0.5,35.59
71,-0.372239,110.514676,1,0.5,35.59
72,-0.372239,110.521414,1,0.5,14.96
73,-0.372239,110.524782,1,0.5,14.96
74,-0.372239,110.528151,1,0.5,14.96
75,-0.375608,110.437197,1,0.5,16.15
76,-0.375608,110.440565,1,1.0,16.15
77,-0.375608,110.443934,1,1.0,16.15
78,-0.375608,110.474252,1,0.5,7.51
79,-0.375608,110.477621,1,0.5,7.51
80,-0.375608,110.484358,1,0.5,18.87
81,-0.375608,110.487727,2,0.5,18.87
82,-0.375608,110.491096,2,0.5,18.87
83,-0.375608,110.494464,1,0.5,1.88
84,-0.375608,110.50457,1,0.5,4.17
85,-0.375608,110.507939,2,0.5,35.59
86,-0.375608,110.511308,2,0.5,35.59
87,-0.375608,110.514676,1,0.5,35.59
88,-0.378977,110.437197,1,0.5,16.15
89,-0.378977,110.440565,1,1.0,16.15
90,-0.378977,110.443934,1,1.0,16.15
91,-0.378977,110.450671,1,0.5,4.06
92,-0.378977,110.45404,1,0.5,4.06
93,-0.378977,110.457409,1,0.5,4.06
94,-0.378977,110.474252,1,0.5,7.51
95,-0.378977,110.477621,1,0.5,7.51
96,-0.378977,110.484358,1,0.5,18.87
97,-0.378977,110.487727,2,0.5,18.87
98,-0.378977,110.491096,2,0.5,18.87
99,-0.378977,110.494464,1,0.5,1.88
100,-0.378977,110.507939,1,0.5,35.59
101,-0.378977,110.511308,1,0.5,35.59
102,-0.378977,110.514676,1,0.5,35.59
103,-0.382345,110.450671,1,0.5,4.06
104,-0.382345,110.45404,1,0.5,4.06
105,-0.382345,110.457409,1,0.5,4.06
106,-0.382345,110.467515,1,0.5,6.67
107,-0.382345,110.470884,1,0.5,6.67
108,-0.382345,110.474252,1,0.5,6.67
109,-0.385714,110.467515,1,0.5,6.67
110,-0.385714,110.470884,1,0.5,6.67
111,-0.385714,110.474252,1,0.5,6.67
112,-0.385714,110.53152,1,0.5,4.29
113,-0.385714,110.534888,1,0.5,4.29
114,-0.385714,110.538257,1,0.5,4.29
115,-0.389083,110.467515,1,0.5,6.67
