Cluster,Pixel_Count,Percentage,Mean_Hotspot_Frequency,Median_Hotspot_Frequency,Std_Hotspot_Frequency,Min_Hotspot_Frequency,Max_Hotspot_Frequency,Mean_FRP_Max,Median_FRP_Max,Std_FRP_Max,Min_FRP_Max,Max_FRP_Max
195,28,0.13898540653231412,2.0,2.0,0.0,2,2,12.293571428571427,12.32,0.06533187559112268,12.18,12.36
196,33,0.1638042291273702,1.0,1.0,0.0,1,1,9.16969696969697,9.17,0.0017407765595569076,9.16,9.17
197,32,0.15884046460835896,1.0,1.0,0.0,1,1,9.181875,9.18,0.003965577694562768,9.18,9.19
198,35,0.17373175816539263,1.0,1.0,0.0,1,1,6.05,6.05,0.0,6.05,6.05
199,42,0.20847810979847115,1.0,1.0,0.0,1,1,6.04,6.04,0.0,6.04,6.04
200,27,0.13402164201330288,1.0,1.0,0.0,1,1,6.41,6.41,0.0,6.41,6.41
201,27,0.13402164201330288,1.0,1.0,0.0,1,1,6.4,6.4,0.0,6.4,6.4
202,26,0.12905787749429165,1.0,1.0,0.0,1,1,6.430000000000001,6.43,0.0,6.43,6.43
203,29,0.14394917105132532,1.0,1.0,0.0,1,1,6.42,6.42,0.0,6.42,6.42
204,41,0.2035143452794599,1.0,1.0,0.0,1,1,6.37,6.37,0.008366600265340314,6.36,6.38
205,61,0.3027896356596843,1.0,1.0,0.0,1,1,8.735245901639345,8.73,0.011776609214461648,8.72,8.75
206,48,0.23826069691253848,1.0,1.0,0.0,1,1,8.774375,8.77,0.005013280235873953,8.77,8.78
207,33,0.1638042291273702,1.0,1.0,0.0,1,1,1.9506060606060607,1.95,0.008268688657895637,1.94,1.97
208,40,0.19855058076044874,1.0,1.0,0.0,1,1,1.9940000000000002,1.99,0.00955416408075814,1.98,2.01
209,74,0.36731857440683013,1.0,1.0,0.0,1,1,4.842027027027027,4.85,0.010065501876541955,4.82,4.85
210,105,0.5211952744961779,2.0,2.0,0.0,2,2,3.7537142857142856,3.77,0.2098316960312256,3.37,4.08
211,29,0.14394917105132532,1.0,1.0,0.0,1,1,2.0372413793103448,2.04,0.0064898556687329155,2.03,2.05
212,66,0.3276084582547404,1.0,1.0,0.0,1,1,2.089848484848485,2.08,0.01441072509171523,2.07,2.11
213,44,0.21840563883649358,1.0,1.0,0.0,1,1,5.658863636363637,5.66,0.00813145173997639,5.65,5.67
